date,temp,precip,wind_speed,wind_dir,state
2024-04-18,34.8,0.0,19.1,150.0,Andhra Pradesh
2024-04-19,34.5,0.0,19.0,152.0,Andhra Pradesh
2024-04-20,34.0,0.8,13.7,165.0,Andhra Pradesh
2024-04-21,33.6,0.0,19.8,126.0,Andhra Pradesh
2024-04-22,33.3,0.0,22.0,141.0,Andhra Pradesh
2024-04-23,32.6,0.0,19.5,147.0,Andhra Pradesh
2024-04-24,33.7,0.0,24.5,147.0,Andhra Pradesh
2024-04-25,33.5,0.0,20.2,142.0,Andhra Pradesh
2024-04-26,33.2,0.0,18.1,145.0,Andhra Pradesh
2024-04-27,33.2,0.0,23.2,144.0,Andhra Pradesh
2024-04-28,33.8,0.0,18.7,150.0,Andhra Pradesh
2024-04-29,33.7,0.0,18.4,143.0,Andhra Pradesh
2024-04-30,34.5,0.0,20.7,158.0,Andhra Pradesh
2024-05-01,36.2,0.0,24.0,171.0,Andhra Pradesh
2024-05-02,35.8,0.0,23.8,151.0,Andhra Pradesh
2024-05-03,35.6,0.0,24.6,138.0,Andhra Pradesh
2024-05-04,35.7,0.1,20.5,135.0,Andhra Pradesh
2024-05-05,35.8,0.0,18.1,141.0,Andhra Pradesh
2024-05-06,34.8,1.0,24.6,145.0,Andhra Pradesh
2024-05-07,30.7,16.4,22.6,104.0,Andhra Pradesh
2024-05-08,32.2,2.8,20.9,152.0,Andhra Pradesh
2024-05-09,31.7,5.9,17.1,142.0,Andhra Pradesh
2024-05-10,30.7,7.9,18.9,140.0,Andhra Pradesh
2024-05-11,33.0,0.0,18.4,144.0,Andhra Pradesh
2024-05-12,33.1,0.7,19.3,146.0,Andhra Pradesh
2024-05-13,31.5,6.6,11.5,129.0,Andhra Pradesh
2024-05-14,30.3,10.2,20.9,144.0,Andhra Pradesh
2024-05-15,32.9,0.7,22.8,131.0,Andhra Pradesh
2024-05-16,27.6,27.7,15.5,113.0,Andhra Pradesh
2024-05-17,29.2,11.8,12.0,112.0,Andhra Pradesh
2024-05-18,28.6,14.0,15.3,153.0,Andhra Pradesh
2024-05-19,29.1,20.4,14.1,149.0,Andhra Pradesh
2024-05-20,30.1,13.7,15.5,147.0,Andhra Pradesh
2024-05-21,29.8,7.2,19.2,122.0,Andhra Pradesh
2024-05-22,30.2,22.0,18.4,93.0,Andhra Pradesh
2024-05-23,31.9,1.1,14.8,138.0,Andhra Pradesh
2024-05-24,32.7,0.8,18.9,193.0,Andhra Pradesh
2024-05-25,33.2,0.0,15.6,224.0,Andhra Pradesh
2024-05-26,34.4,0.0,21.3,262.0,Andhra Pradesh
2024-05-27,34.6,0.0,22.4,260.0,Andhra Pradesh
2024-05-28,35.1,0.0,19.4,261.0,Andhra Pradesh
2024-05-29,36.4,0.0,19.1,268.0,Andhra Pradesh
2024-05-30,36.6,0.0,17.7,275.0,Andhra Pradesh
2024-05-31,37.7,0.0,17.8,319.0,Andhra Pradesh
2024-06-01,34.0,4.4,20.1,149.0,Andhra Pradesh
2024-06-02,29.7,31.4,15.7,204.0,Andhra Pradesh
2024-06-03,30.3,1.0,9.9,267.0,Andhra Pradesh
2024-06-04,31.6,10.2,14.2,251.0,Andhra Pradesh
2024-06-05,28.5,25.5,20.2,232.0,Andhra Pradesh
2024-06-06,28.3,29.6,12.2,204.0,Andhra Pradesh
2024-06-07,27.9,10.7,13.5,218.0,Andhra Pradesh
2024-06-08,28.0,1.8,12.9,226.0,Andhra Pradesh
2024-06-09,28.6,3.1,19.8,225.0,Andhra Pradesh
2024-06-10,29.6,2.7,20.5,254.0,Andhra Pradesh
2024-06-11,29.1,6.8,19.5,262.0,Andhra Pradesh
2024-06-12,29.5,0.9,18.0,269.0,Andhra Pradesh
2024-06-13,29.6,5.2,19.2,261.0,Andhra Pradesh
2024-06-14,30.5,0.3,17.1,270.0,Andhra Pradesh
2024-06-15,31.3,0.2,16.1,271.0,Andhra Pradesh
2024-06-16,31.7,0.9,13.8,264.0,Andhra Pradesh
2024-06-17,31.8,0.3,13.8,268.0,Andhra Pradesh
2024-06-18,32.6,0.0,17.9,258.0,Andhra Pradesh
2024-06-19,31.9,0.2,20.2,261.0,Andhra Pradesh
2024-06-20,33.0,0.0,16.2,268.0,Andhra Pradesh
2024-06-21,32.9,0.9,20.9,273.0,Andhra Pradesh
2024-06-22,31.7,0.2,17.0,271.0,Andhra Pradesh
2024-06-23,32.0,1.0,16.1,237.0,Andhra Pradesh
2024-06-24,33.1,0.0,17.3,239.0,Andhra Pradesh
2024-06-25,31.4,15.6,21.3,253.0,Andhra Pradesh
2024-06-26,31.0,7.8,20.6,256.0,Andhra Pradesh
2024-06-27,27.0,13.8,16.9,254.0,Andhra Pradesh
2024-06-28,29.8,0.6,21.6,263.0,Andhra Pradesh
